CountryName,Date,MonthlyChangeSA,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,month,year,quarter,month_sin,month_cos
Egypt,2023-01-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,1.6666666666666667,0.3333333333333333,4.333333333333333,0.0,3.0555555555555554,2.1125725935368376,4.694444444444445,4.224647097408622,1,2023,1,0.49999999999999994,0.8660254037844387
Egypt,2023-02-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,1.6666666666666667,0.6666666666666666,4.333333333333333,0.0,3.5,2.0412414523193148,5.0,4.035198667082982,2,2023,1,0.8660254037844386,0.5000000000000001
Egypt,2023-03-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,-0.6666666666666666,14.0,4.333333333333333,0.0,4.333333333333333,0.0,4.194444444444445,2.872574368346883,3,2023,1,1.0,6.123233995736766e-17
Egypt,2024-10-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,3.0,4.333333333333333,0.0,4.333333333333333,0.0,4.305555555555555,2.8478534653786793,10,2024,4,-0.8660254037844386,0.5000000000000001
Egypt,2024-11-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,9.333333333333334,4.333333333333333,0.0,4.333333333333333,0.0,3.888888888888889,2.3712645619786112,11,2024,4,-0.5000000000000004,0.8660254037844384
Egypt,2024-12-01,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,9.333333333333334,4.333333333333333,0.0,4.333333333333333,0.0,3.472222222222222,1.6603415331593674,12,2024,4,-2.4492935982947064e-16,1.0
El Salvador,2021-10-01,1.0,1.0,2.0,2.0,2.0,-2.75,1.3333333333333333,0.5773502691896257,0.6666666666666666,1.8618986725025264,0.5833333333333334,2.68694937981663,10,2021,4,-0.8660254037844386,0.5000000000000001
El Salvador,2021-11-01,8.0,1.0,1.0,2.0,-3.0,0.0,3.3333333333333335,4.041451884327381,2.5,2.738612787525831,1.25,3.421190648669766,11,2021,4,-0.5000000000000004,0.8660254037844384
El Salvador,2021-12-01,6.0,8.0,1.0,1.0,1.0,4.5,5.0,3.605551275463989,3.3333333333333335,2.9439202887759492,1.375,3.5746900692100696,12,2021,4,-2.4492935982947064e-16,1.0
El Salvador,2022-01-01,0.5,6.0,8.0,1.0,2.0,1.5,4.833333333333333,3.8837267325770144,3.0833333333333335,3.137143073987329,1.2916666666666667,3.5831571485932834,1,2022,1,0.49999999999999994,0.8660254037844387
El Salvador,2022-02-01,1.5,0.5,6.0,8.0,2.0,-6.0,2.6666666666666665,2.929732638541158,3.0,3.178049716414141,1.9166666666666667,2.7537852736430506,2,2022,1,0.8660254037844386,0.5000000000000001
El Salvador,2022-03-01,1.5,1.5,0.5,6.0,1.0,1.0,1.1666666666666667,0.5773502691896316,3.0833333333333335,3.121164312667097,1.9583333333333333,2.742413778650722,3,2022,1,1.0,6.123233995736766e-17
El Salvador,2022-04-01,0.5,1.5,1.5,0.5,1.0,2.0,1.1666666666666667,0.5773502691896316,3.0,3.193743884534263,1.8333333333333333,2.774341308665842,4,2022,2,0.8660254037844387,-0.4999999999999998
El Salvador,2022-05-01,0.5,0.5,1.5,1.5,8.0,-3.0,0.8333333333333334,0.5773502691896323,1.75,2.138924963620745,2.125,2.375299024237886,5,2022,2,0.49999999999999994,-0.8660254037844387
El Salvador,2022-06-01,0.5,0.5,0.5,1.5,6.0,1.0,0.5,0.0,0.8333333333333334,0.5163977794943262,2.0833333333333335,2.401072992466392,6,2022,2,1.2246467991473532e-16,-1.0
El Salvador,2022-07-01,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.0,0.8333333333333334,0.5163977794943262,1.9583333333333333,2.444458792428047,7,2022,3,-0.4999999999999997,-0.8660254037844388
El Salvador,2022-08-01,0.5,0.5,0.5,0.5,1.5,2.0,0.5,0.0,0.6666666666666666,0.40824829046386785,1.8333333333333333,2.480224818744291,8,2022,3,-0.8660254037844385,-0.5000000000000004
El Salvador,2022-09-01,0.5,0.5,0.5,0.5,1.5,1.0,0.5,0.0,0.5,0.0,1.7916666666666667,2.4996211834208117,9,2022,3,-1.0,-1.8369701987210297e-16
El Salvador,2022-10-01,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,1.75,2.518116178993553,10,2022,4,-0.8660254037844386,0.5000000000000001
El Salvador,2022-11-01,0.5,0.5,0.5,0.5,0.5,8.0,0.5,0.0,0.5,0.0,1.125,1.5829345590332584,11,2022,4,-0.5000000000000004,0.8660254037844384
Eswatini,2022-10-01,1.0,1.0,1.0,1.0,-0.75,7.0,1.0,0.0,0.4166666666666667,0.9036961141150585,3.0625,3.5437605218699013,10,2022,4,-0.8660254037844386,0.5000000000000001
Eswatini,2022-11-01,1.0,1.0,1.0,1.0,-0.75,7.0,1.0,0.0,0.7083333333333334,0.7144345083117535,2.5625,3.3560071649072936,11,2022,4,-0.5000000000000004,0.8660254037844384
Eswatini,2022-12-01,2.75,1.0,1.0,1.0,-0.75,7.0,1.5833333333333333,1.0103629710818427,1.2916666666666667,0.7144345083117539,2.2083333333333335,3.0559802276054002,12,2022,4,-2.4492935982947064e-16,1.0
